pair_id,context_type,target_answer,predicted_answer,is_correct,yes_logit,no_logit,yes_prob,no_prob,group
0,moral,Yes ,No,False,-153.1282501220703,-152.3798828125,0.3211771547794342,0.6788228154182434,baseline
0,moral,No ,No,False,-155.7147216796875,-154.9629364013672,0.3204324245452881,0.6795675754547119,baseline
0,neutral,Yes ,No,False,-128.0625,-128.05105590820312,0.497139036655426,0.5028610229492188,baseline
0,neutral,No ,Yes,False,-128.04476928710938,-128.07542419433594,0.5076631307601929,0.49233686923980713,baseline
1,moral,Yes ,No,False,-150.8828125,-150.28106689453125,0.35394445061683655,0.6460555791854858,baseline
1,moral,No ,No,False,-150.84539794921875,-150.16812133789062,0.33686938881874084,0.6631305813789368,baseline
1,neutral,Yes ,No,False,-155.2897186279297,-154.31959533691406,0.27485594153404236,0.72514408826828,baseline
1,neutral,No ,No,False,-154.46798706054688,-153.43630981445312,0.2627590596675873,0.7372409701347351,baseline
2,moral,Yes ,No,False,-147.52989196777344,-147.0343017578125,0.3785775303840637,0.6214224696159363,baseline
2,moral,No ,No,False,-149.97186279296875,-149.4207000732422,0.3655947148799896,0.6344053149223328,baseline
2,neutral,Yes ,No,False,-121.56925964355469,-120.74346160888672,0.30453428626060486,0.6954657435417175,baseline
2,neutral,No ,No,False,-131.3417510986328,-130.3633575439453,0.27321064472198486,0.7267892956733704,baseline
3,moral,Yes ,No,False,-159.490966796875,-158.3837127685547,0.24838316440582275,0.7516167759895325,baseline
3,moral,No ,No,False,-160.1213836669922,-159.34213256835938,0.31448131799697876,0.6855186820030212,baseline
3,neutral,Yes ,No,False,-141.53128051757812,-140.37710571289062,0.23972736299037933,0.7602726221084595,baseline
3,neutral,No ,No,False,-140.4261474609375,-139.65969848632812,0.31724777817726135,0.682752251625061,baseline
4,moral,Yes ,No,False,-157.85992431640625,-157.0234832763672,0.3022848665714264,0.6977151036262512,baseline
4,moral,No ,No,False,-157.0396270751953,-156.07180786132812,0.27531540393829346,0.7246845960617065,baseline
4,neutral,Yes ,No,False,-144.28273010253906,-143.5720977783203,0.3294591009616852,0.6705408096313477,baseline
4,neutral,No ,No,False,-144.45071411132812,-143.36972045898438,0.25331804156303406,0.7466819882392883,baseline
5,moral,Yes ,No,False,-155.14195251464844,-153.91453552246094,0.22663383185863495,0.7733661532402039,baseline
5,moral,No ,No,False,-149.68081665039062,-148.81349182128906,0.295811265707016,0.7041887640953064,baseline
5,neutral,Yes ,No,False,-153.87646484375,-152.6090087890625,0.21969303488731384,0.7803069353103638,baseline
5,neutral,No ,No,False,-147.33612060546875,-146.21926879882812,0.24659569561481476,0.7534042596817017,baseline
6,moral,Yes ,No,False,-153.3584442138672,-152.43833923339844,0.2849365174770355,0.7150635123252869,baseline
6,moral,No ,No,False,-158.5811767578125,-157.8546905517578,0.3259662985801697,0.6740337610244751,baseline
6,neutral,Yes ,No,False,-135.11865234375,-134.69715881347656,0.39615941047668457,0.6038405895233154,baseline
6,neutral,No ,No,False,-136.8004608154297,-136.66189575195312,0.46541404724121094,0.5345859527587891,baseline
7,moral,Yes ,No,False,-137.88795471191406,-137.2899169921875,0.3547928035259247,0.6452072858810425,baseline
7,moral,No ,No,False,-140.3585662841797,-139.39498901367188,0.2761625349521637,0.7238374352455139,baseline
7,neutral,Yes ,No,False,-132.9893035888672,-131.99139404296875,0.26935261487960815,0.7306473851203918,baseline
7,neutral,No ,No,False,-135.0402374267578,-133.87957763671875,0.2385474294424057,0.7614526152610779,baseline
8,moral,Yes ,No,False,-137.617431640625,-136.9677734375,0.34306660294532776,0.6569334864616394,baseline
8,moral,No ,No,False,-138.9405975341797,-138.24488830566406,0.332764208316803,0.6672357320785522,baseline
8,neutral,Yes ,No,False,-146.90724182128906,-146.74102783203125,0.4585419297218323,0.5414581298828125,baseline
8,neutral,No ,No,False,-144.5734100341797,-144.0946044921875,0.3825342059135437,0.6174657940864563,baseline
9,moral,Yes ,No,False,-154.9647674560547,-154.37664794921875,0.35706645250320435,0.6429335474967957,baseline
9,moral,No ,No,False,-157.55160522460938,-156.66355895996094,0.2915131747722626,0.7084868550300598,baseline
9,neutral,Yes ,No,False,-140.34242248535156,-139.59463500976562,0.3213035762310028,0.6786963939666748,baseline
9,neutral,No ,No,False,-139.4586639404297,-138.47039794921875,0.2712547183036804,0.7287452816963196,baseline
