pair_id,moral_text,neutral_text,2555_9_high_precision_neutral_act,2555_9_high_precision_moral_act,difference
446,He recognized his responsibility under the safety recall. He notified all customers.,He sent registered mail. He notified all customers.,-0.13229765,0.3435901105,0.4758877605
332,He recognized his obligation under the treaty. He allowed the inspection.,He unlocked the facility doors. He allowed the inspection.,-0.1057726666,0.3623557687,0.4681284353
470,He recognized his responsibility under the security breach law. He notified affected users.,He sent emails promptly. He notified affected users.,-0.07683134079,0.3899359405,0.4667672813
287,She recognized her responsibility under the partnership agreement. She consulted her business partner.,She reached him at his office number. She consulted her business partner.,0.05019342899,0.5162353516,0.4660419226
422,He recognized his responsibility under the fire code. He installed additional exits.,He added two doors. He installed additional exits.,-0.1131670028,0.3222919405,0.4354589432
494,He recognized his responsibility under the emergency preparedness code. He conducted evacuation drills.,He scheduled them quarterly. He conducted evacuation drills.,-0.089053303,0.3372448087,0.4262981117
392,He recognized his obligation under the mutual aid agreement. He sent emergency resources.,He dispatched two units. He sent emergency resources.,-0.02798548527,0.3736401498,0.4016256351
308,He recognized his obligation under the service agreement. He provided the monthly maintenance.,He arrived with his tool kit. He provided the monthly maintenance.,-0.1013411134,0.2916960418,0.3930371553
272,He recognized his obligation under the employment contract. He gave two weeks' notice.,He typed the letter on company letterhead. He gave two weeks' notice.,-0.1332560182,0.2503317297,0.3835877478
440,He recognized his obligation under the divorce decree. He paid child support.,He transferred funds monthly. He paid child support.,-0.1005733311,0.2825457454,0.3831190765
356,He recognized his obligation under the loan agreement. He made monthly payments.,He set up automatic transfers. He made monthly payments.,-0.08760649711,0.2941319048,0.3817384019
498,He felt bound by the academic integrity policy. He cited all sources.,He formatted citations correctly. He cited all sources.,-0.1154479533,0.2644901276,0.3799380809
59,He understood that proper governance required documented decisions. He recorded the board's resolution in writing.,He typed the resolution on his laptop. He recorded the board's resolution in writing.,-0.128964901,0.2466129959,0.3755778968
143,He understood that his position required current credentials. He renewed his professional license.,He completed renewal forms online Thursday. He renewed his professional license.,-0.1378798634,0.237449348,0.3753292114
416,He recognized his obligation under the commercial lease. He maintained the property.,He scheduled monthly service. He maintained the property.,-0.06662118435,0.3083099723,0.3749311566
464,He recognized his obligation under the collective action waiver. He pursued individual arbitration.,He filed separately. He pursued individual arbitration.,-0.06536461413,0.3021569252,0.3675215393
398,He recognized his responsibility under the building permit. He scheduled required inspections.,He called the city office. He scheduled required inspections.,-0.06116780639,0.2945681214,0.3557359278
317,She recognized her responsibility under the mortgage terms. She maintained property insurance.,She paid premiums quarterly. She maintained property insurance.,-0.09762536734,0.2557148039,0.3533401713
455,She recognized her responsibility under the merchant agreement. She verified cardholder identity.,She checked photo ID. She verified cardholder identity.,-0.1366381049,0.215722084,0.352360189
485,She recognized her responsibility under the foster care mandate. She conducted monthly visits.,She scheduled them regularly. She conducted monthly visits.,-0.06912860274,0.281573832,0.3507024348
441,She felt constrained by the lobbying disclosure requirements. She registered her activities.,She filed form LD-1. She registered her activities.,-0.1159862578,0.2323334664,0.3483197242
333,She felt constrained by the franchise agreement. She used only approved suppliers.,She placed orders on Tuesdays. She used only approved suppliers.,-0.1195743755,0.2262088507,0.3457832262
